id,name,area_id,address,postal_code,outline
11,セカンドストリート高円寺店,3,東京都杉並区高円寺南４丁目６−７,166-0003,"【新型コロナウイルス感染症拡大防止対策による営業時間変更のお知らせ】

    いつもセカンドストリートをご利用頂きまして、ありがとうございます。
    誠に勝手ではございますが、通常とは異なる下記内容にて営業させて頂きます。
    
    ■5月7日（木）～当面の間　10：00～20：00
    また、予告なく臨時休業及び営業時間の変更となる場合もございますのでご了承ください。
    
    ご不便お掛け致しますが、ご理解のほど宜しくお願い致します。"
12,HOSU（ホス）,5,東京都目黒区青葉台１丁目２１−11 104,153-0042,"【HOSU】は、中目黒で発祥したアパレルブランドを展開するショップです。中目黒店の他に、岡山県にも系列店があります。
    メンズのアイテムを中心に、カジュアルヴィンテージ感のあるトップス、デニム、またブーツなどに力を入れて展開しているみたいです。
    地元・中目黒のイベントに協賛したり、ハンドメイドブランドや、アパレルブランドともコラボしたりなど、ファッション関連の行事を積極的に展開しています。
    ショップの外観は、優しいホワイトを基調とした壁に、爽やかな青色枠の入り口が印象的です。店内に入ると、スチールで出来たシンプルな棚を有効活用しながら、所々にアンティーク調の棚や雑貨がディスプレイされていて、かなりハイセンスな造りになっています。
    特に、ホワイトとブルーの組み合わせがポイントになっているデザインが目立ちます。
    アクセスは、東急東横線『中目黒駅』から徒歩5分。営業時間は、日曜から木曜が12:00～20:00、金曜と土曜が12:00～21:00です。"
13,中目黒THE VINTAGE HOOK（ザ・ヴィンテージ フック）,5,東京都目黒区青葉台１丁目１４−２ 1F,153-0042,"「Go Back 90’s Style」というキャッチコピーを掲げ、ヴィンテージ ハーレーアイテムを中心とした90年台のオールドスケート、ロック等のアイテムを取り扱っている。
    デッドストックやスペシャルヴィンテージを中心としているため、誰にも真似できない個性的なファッションを目指しているなら一度は覗きたいお店だ。

    通販サイトがあるので全国から利用可能。店舗は東急東横線中目黒駅から徒歩8分。桜並木で有名な目黒川のそばにある。"
14,BAZZSTORE三鷹北口店（バズストア）,6,東京都武蔵野市中町５−５ 2-5-24 中嶋ビル 1F,180-0006,"古着のメッカ吉祥寺の隣駅、三鷹駅近くにあるBAZZSTORE三鷹北口店では、高級ブランドからノンブランド品まで幅広いファッションアイテムを対象に古着全般の販売と買い取りを行っています。
    販売ではメンズとレディースの両方を扱っており、衣料品を中心に、バッグ、シューズ、アクセサリー、ファッション小物まで取りそろえられています。
    店舗の外にもお買い得商品がずらりと並んでおり、通りすがりについつい足を止めてしまう人も多いです。"
15,原宿CHICAGO吉祥寺店（シカゴ）,6,東京都武蔵野市吉祥寺本町２丁目１３−６,180-0004,"原宿、下北沢などにも店舗のある有名古着ショップの吉祥寺店です。

    場所は東急百貨店のすぐ裏なので駅からも近くて立ち寄りやすいです。
    
    店内はこれぞ古着屋といった感じで、アメカジ、ヨーロッパ古着、カジュアル、ミリタリー、フォーマルといった様々なジャンルで、雑貨やシューズなども取り揃えてあり値段も手頃で幅広い年齢層の方におすすめです。
    メンズ、レディースはもちろんですが、古着屋にしては珍しく子供服も置いてあるので小さいお子さんがいる方もカワイイ服が見つかると思います。"
16,RAGTAG新宿店（ラグタグ）,7,東京都新宿区新宿３丁目３２−１０ Ｔ＆Ｔビル ４Ｆ,160-0022,JR各線・小田急線・京王線・京王新線・西武新宿線・東京メトロ大江戸線・都営地下鉄新宿線「新宿」駅東南口より徒歩4分または東口より徒歩5分／東京メトロ丸の内線・副都心線「新宿三丁目」駅A4出口より徒歩2分
17,BAZZSTORE 高田馬場早稲田通り西口店(バズストア),8,東京都新宿区高田馬場４丁目１１−１０ kaleido 1F VORT,169-0075,"渋谷や下北沢など、東京都内の主要な古着のメッカに多数の店舗を展開するBAZZSTOREの12号店。各線高田馬場駅より徒歩3分とアクセスがよく、営業時間も12:00～22:00までと遅くまで開店しているため立ち寄りやすいお店です。
    古着の買取にも対応をしており、高級ブランドだけでなく、ノンブランド品やカジュアルブランド、ファストファッションもOK。"
18,BAZZSTORE 沼袋店,9,東京都中野区沼袋３丁目４−１８ 三丁目ビル 2F,165-0025,"まず目を引くのが品揃えの豊富さです。ジャンルやブランドを問わず、メンズ・レディースから小物まで幅広く取り揃えています。
    全身をオシャレにコーディネートしたいという人におすすめのお店です。その上、状態の良い物が多いので、長期間使用できるのも魅力といえます。
    また、駅からのアクセスも抜群で改札を出てすぐにお店があるので、迷うこと無くたどり着くことができるのもおすすめポイントです。"
19,BAZZSTORE原宿キャットストリート北ウイング店（バズストア）,4,東京都渋谷区神宮前4丁目26−5,,"【BAZZSTORE（バズストア）】は、口コミや人との繋がりを意識して、古着やアクセサリーのリユースを大切にしているショップ。
    ショップの店名は、クチコミという意味を持つ『buzz』と、全てを含むことを示す『az』が組み合わされた造語です。
    そのため、思い出がありながらも着られなくなった服を、その気持ちと一緒に、誰かのワードローブに伝わっていく、そんなコンセプトを大切にしているそう。"
20,A-1 CLOTHING（エーワンクロージング）,4,東京都渋谷区神宮前5-28-7 1F,150-0001,"【A-1 CLOTHING（エーワンクロージング）】は、外国のインポートブランドを中心に、ヴィンテージアイテム、ファッション小物、雑貨を扱っているショップです。
    取り扱いブランドは、ショップのオリジナルアイテムに、誰でも知っているADIDAS、NIKE、NEWBALANCEといったスポーツブランド、ファッション性の高いブランド、日本ではあまり見かけないブランドなど、とても幅広く扱っています。
    アイテムは、メンズを中心にアウター、トップスからボトムスまで並んでいて、特にウェアの種類が豊富です。その他には、キャップやニット帽などの帽子、グローブやリュックなどのミリタリーやアウトドア系のアイテムも扱っています。ヴィンテージアイテムには、アメカジ系のウェアを中心に、アクセサリー、アメリカ雑誌、雑貨なども扱っているのです。古着のテイストは、くたびれた雰囲気があり、古着ならではの味があるものが多いみたい。
    アクセスは、JR各線『渋谷駅』から徒歩10分、JR『原宿駅』から徒歩10分。営業時間は、12:00～20:00。"
21,BRAND COLLECT原宿竹下通り店（ブランドコレクト）,4,東京都渋谷区神宮前1-8-5,,"【BRAND COLLECT（ブランドコレクト）】は、ブランド古着の買取と販売を行っているショップ。
    店舗は、この原宿竹下通り店と、原宿店の2店舗があります。各ショップで、扱っているブランドアイテムのコンセプトが異なっているんです。
    こちらの原宿竹下通り店では、インポートアイテムを中心に取り扱っており、特にヨーロッパやアメリカテイストを重視した幅広いジャンルが豊富！
    他店にも置いてあるような、高級感のあるブランドも扱っていますが、その他にも、モード系や日本のドメスティックブランドの扱いにも力を入れていますよ。
    アイテムは、メンズとレディースをともに扱っています。メンズの買取で力を入れているのは、A.P.C、BURBERRY、COMME des GARCONS、Dior HOMME、Martin Margiela、N.HOOLYWOOD、THOM BROWNE、Visvim、YAECA、Y’sといったジャンルです。
    また、レディースでは、CHLOE、CHANEL、HERMES、KATE SPADE、 LOUIS VUITTON、MARNI、MUVEIL、MM6、PRADA、といったブランドのアイテムの買取に力を入れています。
    アクセスは、JR『原宿駅』竹下口から徒歩4分。営業時間は、11:00～20:00で、休日は8月2日のみです。"
22,Santa Monica原宿店（サンタモニカ）,4,東京都渋谷区神宮前４-２５−５,150-0001,"【Santa Monica（サンタモニカ）】は、原宿の表参道で、1979年にオープンした老舗の古着ショップです。原宿店は、2011年にオープンしました。
    主に、ヴィンテージ&古着アイテムを中心に取り扱っていて、他にも海外の人気ブランドの新品まで揃えています。原宿店の他には、表参道店、渋谷店、ラフォーレ原宿店、吉祥寺店があります。原宿店は、白や水色を基調とした開放的な外観が目印になっています。
    アイテムは、レディースとメンズを両方扱っていて、ウェア、バッグ、シューズ、帽子や、小物類やアクセサリーまで並んでいます。
    特に人気があるアイテムは、ヘインズVネックシャツ、ミラータンクトップ、ディッキーズチノパン、ベンデイビスワークパンツ等だそうです。
    “サンタモニカ”という店名から、アメリカの開放的なイメージに繋がりやすいのか、リゾートやカジュアルな感じのアイテムに人気が高いようですね。アメカジのアイテムが多いのですが、色や素材にはふんわりとした柔らかさがあります。
    アクセスは、東京メトロ『明治神宮前駅』から徒歩7分です。"
23,VALON（バロン）,1,東京都世田谷区北沢2丁目25−8,,"『VALON（バロン）』は、アメリカ・ヨーロッパの、ユーズド、ビンテージ、レギュラー古着を取り扱うショップです。メンズとレディースの商品を扱っていて、メンズは、トップス、パンツ、革靴などが並び、レディースはワンピース、スカートの種類が豊富で、トップス、パンツもあり、その他にもバッグ、シューズ、アクセサリー、バッジなどの小物類も充実しています。古いもので1930年代からのアイテムもあり、デッドストックから新品まで並んでいるようです。
    お店の様子は、ホワイトの壁やディスプレイ用の家具に、ヨーロッパ調でレトロな雰囲気があり、ショップのテーマに沿った世界観が広がっています。小規模なショップですが、並んでいる小物も種類が豊富でブーツやスニーカー、レディスシューズ、帽子や雑貨等があります。
    全体的に、並んでいる商品は状態がよく、風合いや色、柄においても、ショップ全体に統一感があり、店主のショップコンセプトへのこだわりがみられます。
    アクセスは、小田急線、京王井の頭線『下北沢駅』西口から徒歩2分にある、東洋百貨店内ブース２３です。営業時間は、12:00～20：30。"
24,USED CLOTHING ANTON（ユーズドクロージングアントン）,1,東京都世田谷区北沢2-31-1,,"『USED CLOTHING ANTON（ユーズドクロージングアントン）』は、セレクト古着が並ぶ隠れ家的なショップです。扱っている商品は、USED古着、ブランド古着といった現代古着が多く、状態がよく古着らしさを感じさせないアイテムが並びます。古着アイテム以外にも、新品のセレクトアイテムを扱っていて、全体的には、モノトーンカラーやモード感のある商品で統一されています。アウター、シャツ、パンツの他、バッグやシューズ、アクセサリーなどの小物類も揃っていて、全体的にメンズ商品の扱いが多いようですが、レディースも扱っています。定番アイテムから、一点ものの個性的なアイテムが並んでいて、こじんまりとしたショップの規模ながら、豊富なアイテムがぎっしりと並びます。商品によってはユニセックスなデザインも多く、性別を意識させない個性的なファッションアイテムが多いようです。
    アクセスは、小田急線、京王井の頭線『下北沢駅』南口から徒歩2分。営業時間は、13:00~20:00で、定休日は毎週水曜日（水曜日が祝日にあたる場合は営業）。"
25,NEW YORK JOE EXCHANGE下北沢店（ニューヨークジョーエクスチェンジ）,1,東京都世田谷区北沢3-26-4,,"銭湯を改装したため、それが店名『ニューヨーク ジョー（入浴場） エクスチェンジ』となっているお店で、お店に入った瞬間、開放的な空間が広がり、もと銭湯だった空間に、多数のアイテムが並べられているという不思議で面白い内装です。
    アイテムを売りに来た場合、商品と交換（トレード）できるスタイルが魅力的ですが、店内の商品が全体的にリーズナブルなのも魅力です。
    商品はインポート、ユーズド、ノーブランドに関わらず洋服からバッグや靴、帽子、アクセサリーなどを扱ってますが、特に、Vivienne westwood、Dr.Martens、MARC BY MARC JACOBS、adidasなど、現行のブランド品は、他店のリサイクルショップと比較してもかなりの低価格となっています。
    毎月第一日曜日には、全商品半額セール「The First Sunday SALE」が開催され、行列ができる程の盛況ぶりになります。スタッフの方は、皆さん明るくて元気がよく、店内は常に活気が溢れていることもあり、アイテムを売りに来た方も買いにきた方も、どなたでも楽しめるお店です。"
26,FLAMINGO下北沢マバタキ店（フラミンゴ）,1,東京都世田谷区北沢2-37-2,,"店舗に訪れると、フラミンゴ店におなじみのフラミンゴネオンサインが飾られており、フラミンゴがマバタキをします。店内に入ると、目の前にディスプレイの巨大な鳥カゴがあり、内装は海外で買い付けたアンティーク家具や雑貨品をおしゃれに使っているため、店舗全体に手作りのアンティーク感がある雰囲気です。インテリアには、無機質ではなく体温があるような空間つくりを目指しているようで、奇抜な商品が置いてあるにも関わらず、居心地がいい店内です。扱っている古着は、個性的なアイテムや奇抜なアイテムが多く、その他にもショップオリジナルのリメイクブランド「Tippi Rag Made」や、新品小物もあり、商品数はかなり充実した品揃えです。その他、服飾雑貨には、ボタン、糸、食器、古い鍵、マッチまで、リメイク用品からインテリア雑貨まで幅広く取り揃えています。
    入り口のフラミンゴネオンが目に付き、スタッフの方もとても気さくに対応してくれるので、フラッと立ち寄りやすいお店です。"
27,HIGH＆LOW（ハイアンドロウ）,1,東京都世田谷区代沢2丁目29-9,,"HIGH&LOW（ハイアンドロウ）は、大人のための古着ファッションを提供しているショップです。
    店主の意向で、レディースは「遊ぶ女」、メンズは「働く男」をコンセプトにした、大人が着れる古着を意識されています。扱っている商品は、メンズ、レディースの、靴、バック、小物、アクセサリーなどのヴィンテージの古着アイテムや、食器、服飾雑貨等のアンティーク雑貨をセレクトしています。商品は、バイヤーがアメリカで買い付けており、全体的に保存状態の良いものが多く、クオリティの高いものを1つ1つ厳選して買い付けているそうです。買い付けされた商品は、全体的にはカジュアルなものが多いのですが、プリントの柄や生地の手触り、個性的なボタン、ヨーロッパを中心とした他国文化の情緒を感じさせる刺繍等、こだわりを持って厳選されたのが伺えます。
    アクセスは、小田急線、京王井の頭線『下北沢』駅南口から徒歩3分。営業時間は、月曜から土曜が13時～22時、日曜が12時～20時。"
28,RAGTAG下北沢店（ラグタグ）,1,東京都世田谷区北沢2丁目34−12,,"RAGTAG 下北沢店は、ブランド古着やブランドバッグの買取・販売・通販を行うユーズドセレクトショップである。
    モードブランド、ストリートブランド、スーパーブランドなど多彩なブランドが揃っており、好みのブランドからセレクト可能である。
    古着はその性質上、汚れや匂いが気になるところだが、このショップでは全商品クリーニングしてから販売しているので安心感がある。"
29,BAZZSTORE高円寺パル商店街店（バズストア）,3,東京都杉並区高円寺南3-58-22 ARISTO高円寺 2F,,"BAZZSTOREの13号店として高円寺パル商店街店が2019年12月20日オープン。「高円寺駅」南口より徒歩2分の好立地でアクセス抜群。取扱商品は販売・買取ともに幅広く、カジュアルブランドやファストファッション、ノーブランド品も買取対象としていて使いやすいお店です。

    定休日は年中無休。営業時間は12：00〜22：00で、買取受付時間は12：00～21：30と閉店の30分前まで受付可能になっています。"
30,Antler(アントラー),3,東京都杉並区高円寺南2-50-10,,"Antler [アントラー]は、高円寺pal商店街を抜けてすぐにあるお店です。ビンテージ古着をアメリカからオーナー自らが厳選して仕入れているそうです。商品はペイントが施されているもの、ダメージが入っているものなどグランジテイストなアイテムが数多く揃っています。
    また一癖あるようなアイテムや、ドレッシーなアイテムなど年代に縛られず格好良いものだけがセレクトしてあり、商品一つ一つのクオリティーが高いお店です。店内は白を基調とし、アンティーク什器で落ち着いた雰囲気を演出しており、商品がとても見やすいお店でした。"
31,Kissmet（キスメット）,3,東京都杉並区高円寺南3-56-1 藤和高円寺コープ101,,"レディース、メンズともにヴィンテージ、ブランド物を多く取り扱う古着屋です。特にハイブランドの品揃えが良くディオールやコムデギャルソン、ランバン、ジルサンダーといった一流ブランドのアイテムはかなり多いです。
    状態も厳選してあるため綺麗なものばかりで新品で買うとかなりのお値段のものも手に入れやすい価格になっています。個人的にはここに寄った時にはシューズは特に注目して見ています。シューツリーをしっかり入れてあったり綺麗な状態で保存してありますし、なかなかお目にかかれないような掘り出し物も見つかることがあるのでオススメです。
    店内も壁と木目調の床と白で統一されているので凄く清潔感があります。古着屋の独特な雰囲気が苦手という方でも見やすいと思います。"
32,突撃洋服店,2,東京都渋谷区神南1-14-8 南部ビル203号,,"渋谷にある突撃洋服店は、神戸発の歴史ある古着ショップだ。
    インポート品をメインとしたモードスタイルの洋服をはじめとした個性的なアイテムが多く揃えられている。
    様々なスタイルの洋服があるので価格もピンからキリまであるが、春夏物などは5000円前後から購入することが出来る。
    メンズ物もレディース物も豊富に取り扱われており、男女ともに絶大な人気を誇る古着ショップとなっている。"
33,RAGTAG渋谷店（ラグタグ）,2,東京都渋谷区神南1-17-7,,"渋谷区神南にあるRAGTAG（ラグタグ）渋谷店は、地下１階～２階まで３フロアにわたって、レディース・メンズをバランス良く取り揃えている。
    それに加え、キッズやインテリアまで扱っている、大型のブランド古着の専門店である。
    カジュアルブランドからストリートブランド、スーパーブランドなど幅広いジャンルを取り扱っている。"
34,OFO（オーエフオー）,2,東京都渋谷区神南１－１４－１　コーポナポリ２階２０１,,OFOは、渋谷神南エリアに２０１６年にオープンしたショップ。ユニセックスのUSAヴィンテージを中心に、若い方から大人の方まで幅広く楽しめる品ぞろえ。渋谷の中では比較的リーズナブルな価格帯で、安心してショッピングができる。
35,qosmos（コスモス）,2,東京都渋谷区神南1-10-7　テルス神南　501,,"渋谷駅から神南方面に歩いた、ファイヤー通りにあるビンテージ＆アンティークウェアのショップ。場所はシダックスの向かい側なので、わかりやすい場所にあるが、雑居ビルの5階にあるため、注意しないと一度通り過ぎてしまう。
    入り口や内装、インテリアは凝っており、雑居ビルというよりデザイナーズビルのような雰囲気を感じる。隠れ家のようなアパレルショップである。"
36,RAGTAG吉祥寺店（ラグタグ）,6,東京都武蔵野市吉祥寺南町１丁目８−６ カーサカルム吉祥寺,180-0003,"いろんな場所にあったり、ウェブでの展開もある有名なブランド古着屋さんですが、正直ブックオフと一緒でその街に住む人たちの雰囲気によって置いてるものがかなり左右されると思いますが、そういう意味で吉祥寺は当たりの店舗だと思います。
    状態が綺麗で、20代から30代くらいの世代の方たちが気軽に着られるブランド古着が安価に手に入ります。結構いつも混んでいるので商品の回転もはやく、ほしいものはその時買わないとすぐにでも無くなってしまいますが、その分いつ覗きにいっても新しい発見があるので吉祥寺に行くときは必ず寄らせてもらってます。
    立地条件も良く、他の古着屋が何件か集まる、駅から井の頭公園に抜ける小さな路地にあり、古着を探しに行くときはまとめて見て回る事ができて楽ちんです。"
37,セカンドストリート吉祥寺サンロード店（旧称：JUMBLE STORE ジャンブルストア）,6,東京都武蔵野市吉祥寺本町１丁目１２−１,180-0004,"サンロード商店街にありますが、駅からはちょっと離れたところです。でも駅から遠すぎるというほどではありません。「古着屋さん」というよりも、「日本全国にある典型的なリサイクルショップ」といった感じで、店内は蛍光灯が使用され、吉祥寺店といえど、おしゃれな雰囲気などいっさい感じられませんでした。商品のコンディションは悪くありません。セレクトショップ系、アウトドアブランドなどで気に入ったものが見つかれば買ってもいいと思いました。
    時間のあるに頑張って探してみたいと思わせます。興味のある方、安く手に入れたい方は、すぐに見つかることはあまり期待せずに行ってみたらいいと思います。"
38,Santa Monica吉祥寺店（サンタモニカ）,6,東京都武蔵野市吉祥寺南町1-16-11,,"駅から井の頭公園に抜ける、オシャレなお店が集まっている路地の少し入ったところにあるお店です。古着のみならず、新品の取り扱いも少しだけあり、店前の露天部分にはレディースの商品が並んでいるので、コアな古着屋さんにちょっと入りにくいという初心者女子にも、気軽に覗ける陳列スタイルになっています。アーミーな取り扱いもあるので、吉祥寺で軍モノを見つけたい時に行くと面白い掘り出し物に出会えたりします。小さいながらもこだわり抜かれた商品が並んでる感じがするので見応えは十分で、ついつい時間を忘れて吟味してしまうこと間違いなしです。また、店員さんが気さくな感じなので古着についてもいろいろ教えてくれたりして楽しい時間を過ごす事ができます。
    表参道に本店を構える古着屋の吉祥寺店です。
    
    古着屋としての歴史も古くこの吉祥寺店も1980年オープンということで30年以上も営業している老舗中の老舗です。"
39,Kindal新宿店ANNEX（カインドオル）,7,東京都新宿区新宿3-28-2 ルナージュ新宿6F,,"WEBサイト：http://www.kind.co.jp/shinjuku/
    https://www.instagram.com/kind_shinjuku/"
40,RINKAN新宿店（リンカン）,7,東京都新宿区新宿3-34-13 三経ビルB1F,,"WEBサイト：https://www.gsc-rinkan.com/company/shinjuku_pc.html
    https://www.instagram.com/rinkan_shinjuku/
    "
41,RED CLOUD（レッド クラウド）,8,東京都豊島区東池袋1-43-10-102,,"主にアメリカの古着を取り扱うお店で、古着の買い取りやリペアも行っているんだとか。
    Ralph Lauren（ラルフ ローレン）のポロシャツやストリートファッションとして知られるSTUSSY（ステューシー）のTシャツなどの古着の定番アイテムから、アメリカで買い付けたエッジの効いたノンブランドものまで幅広く揃うお店です。"
42,Dron-pa（ドロンパ）,8,東京都豊島区西池袋1-2-3,,"強いこだわりのもと仕入れられた古着はどれも個性的。

    アメリカのプロバスケットボールチームや、アメリカのプロ野球チームのユニホームをはじめ、シンプソンズやディズニーのキャラがプリントされたTシャツに、アメリカのオートバイメーカーとして世界的に有名なハーレーダビッドソンのパーカーなど、アメリカから買い付けてきたことがダイレクトに伝わってくる古着が揃っています！
    またこちらの古着屋さんが立ち上げたオリジナルブランド、「ROYAL KHAKI（ロイヤル カーキ）」のアイテムも見逃せません。
    この「ROYAL KHAKI」のアイテム、生地やデザインにこだわったものばかりでどれも魅力的なものばかり！"
43,たんぽぽハウス 高田馬場店,8,東京都新宿区高田馬場2-8-3,,たんぽぽハウス 高田馬場店は高田馬場駅から徒歩3分と近く、「噂の都内最安店」として有名な古着屋です。紳士服や婦人服を始め、バッグやシューズなど、幅広い品揃えと安い価格がおすすめポイントです。
44,リサイクルブティックＡＢＣ 中野店,9,東京都中野区中央5-51-3,,お店は中野駅北口から出て早稲田通り沿い、中野区立商工会館のほぼ向かいにあります。中央線沿いには系列店も含めて11軒の店があり、中野店はABCの中でも一番小さい店ですが、有名ブランドの洋服やバッグ・靴・小物まで幅広いアイテムを取り扱う店です。
45,リサイクルショップ ティファナ 東中野店,9,東京都中野区東中野3-9-10,,JR東中野駅あるいは大江戸線東中野駅から北西に約600m続く東中野銀座商店街にあるリサイクルショップです。明るい雰囲気の店内にはハイブランドのバッグやアクセサリー・洋服・食器・靴など、幅広いアイテムを揃えています。未使用品も多くあるので、ユーズドは敬遠しがちな人にもおすすめです。都内・埼玉・台湾に15店舗の店があります。
